"Name of Covered Entity","State","Covered Entity Type","Individuals Affected","Breach Submission Date","Type of Breach","Location of Breached Information","Business Associate Present","Web Description"
"The Nemours Foundation","FL","Healthcare Provider","1055489","10/07/2011","Loss","Other","No","A locked cabinet was removed from an IT service desk area at the Wilmington, Delaware facility of the covered entity (CE), The Nemours Foundation during an August 2011 remodeling project.  The cabinet housed three unencrypted backup tapes containing the electronic protected health information (ePHI) of 1,055,489 individuals.  The ePHI involved in the breach included patients’ names, addresses, social security numbers, diagnoses and procedure codes.   The CE provided breach notification to HHS, affected individuals, and the media, and offered one year of free credit monitoring to affected individuals.  Following the incident, the CE hired a private investigator to assist in locating the missing backup tapes; however, they were not recovered.  Additionally, the CE retained Navigant Consulting to assess the recoverability of the information and to conduct a validation review of CE’s internal analyses.  In response to the incident, the CE improved safeguards by encrypting all backup tapes, storage devices, and electronic media that may contain e-PHI, moving backup tapes to a secure off-site facility, installing non-movable storage cabinets in its data centers, and implementing  two-factor authentication for access to ePHI.  It also hired a system administrator to manage and audit backup procedures, retrained staff, and updated and created HIPAA policies and procedures, including role-based access to cabinets containing backup data.  OCR obtained assurances that the corrective actions listed above were carried out."
"InStep Foot Clinic, P.A.","MN","Healthcare Provider","2600","10/11/2011","Theft","Electronic Medical Record, Laptop","No","\N"
"Futurity First Insurance Group","CT","Business Associate","3994","10/11/2011","Theft","Other","Yes","\N"
"Lahey Clinic","MA","Healthcare Provider","599","10/11/2011","Theft","Laptop","No","Lahey Hospital and Medical Center (Lahey)  has agreed to settle potential violations of the Health Insurance Portability and Accountability Act of 1996 (HIPAA) Privacy and Security Rules with the U.S. Department of Health and Human Services (HHS), Office for Civil Rights (OCR).  Lahey will pay $850,000 and will adopt a robust corrective action plan to correct deficiencies in its HIPAA compliance program.  Lahey is a nonprofit teaching hospital affiliated with Tufts Medical School, providing primary and specialty care in Burlington, Massachusetts.

Lahey notified OCR that a laptop was stolen from an unlocked treatment room during the overnight hours on August 11, 2011.  The laptop was on a stand that accompanied a portable CT scanner; the laptop operated the scanner and produced images for viewing through Lahey’s Radiology Information System and Picture Archiving and Communication System.  The laptop hard drive contained the protected health information (PHI) of 599 individuals.  Evidence obtained through OCR’s subsequent investigation indicated widespread non-compliance with the HIPAA rules, including:
•Failure to conduct a thorough risk analysis of all of its ePHI;
•Failure to physically safeguard a workstation that accessed ePHI;
•Failure to implement and maintain policies and procedures regarding the safeguarding of ePHI maintained on workstations utilized in connection with diagnostic/laboratory equipment;
•Lack of a unique user name for identifying and tracking user identity with respect to the workstation at issue in this incident;
•Failure to implement procedures that recorded and examined activity in the workstation at issue in this incident; and
•Impermissible disclosure of 599 individuals’ PHI.

“It is essential that covered entities apply appropriate protections to workstations associated with medical devices such as diagnostic or laboratory equipment,” said OCR Director Jocelyn Samuels. “Because these workstations often contain ePHI and are highly portable, such ePHI must be considered during an entity’s risk analysis, and entities must ensure that necessary safeguards that conform to HIPAA’s standards are in place.”

In addition to the $850,000 settlement, Lahey must address its history of noncompliance with the HIPAA Rules by providing OCR with a comprehensive, enterprise-wide risk analysis and corresponding risk management plan, as well as reporting certain events and providing evidence of compliance.

The Resolution Agreement and Corrective Action Plan can be found on the OCR website at: http://www.hhs.gov/ocr/privacy/hipaa/enforcement/examples/LAHEY
"
"Florida Hospital","FL","Healthcare Provider","12784","10/13/2011","Unauthorized Access/Disclosure","Electronic Medical Record","No","\N"
"Thomas Jefferson University Hospitals, Inc.","PA","Healthcare Provider","3150","10/14/2011","Theft","Other","No","\N"
"Lankenau Medical Center","PA","Healthcare Provider","500","10/17/2011","Theft","Other","No","\N"
"Mutual of Omaha Insurance Co","NE","","","10/18/2011","","","No",""
"Spectrum Health Ssytems, Inc.  ","MA","Healthcare Provider","14750","10/20/2011","Theft","Desktop Computer","No","\N"
"Conway Regional Medical Center","AR","Healthcare Provider","1472","10/21/2011","Loss","Other","No","A business associate (BA) of the covered entity (CE), Conway Regional Medical Center, sent the CE two compact disks containing scanned medical records which were mislaid following receipt.  The protected health information (PHI) involved in the breach included the demographic and financial information of 1,472 individuals.  The CE provided breach notification to HHS, the media, and affected individuals.  Following this breach, the CE instructed its BA to encrypt any removable media that contains PHI and hand deliver the removable media to the CE’s Medical Records Department.  Further, the CE improved administrative safeguards by updating its policy and procedures, which now requires a signature of an employee in the receiving department when packages are delivered.  Also, all workforce members in the department involved in the breach attended additional HIPAA training.  As a result of OCR’s investigation, the CE no longer routinely sends PHI off site for scanning."
"HITS Scanning Solutions, Inc.","MO","Business Associate","7059","10/22/2011","Theft","Other","Yes","The covered entity's (CE) business associate (BA) shipped microfilm records containing protected health information (PHI) of 7,059 workforce members.  The microfilm was lost in transit and not recovered. The PHI included clinical information, diagnoses, names, addresses, zip codes, date of births, social security numbers, driver's license numbers, and other identifiers.  Following the breach, the CE changed its procedures, requiring PHI to be shipped via a new mail carrier that requires a confirmation signature upon receipt and allows for the tracking of packages.  As a result of OCR's investigation the CE retrained its employees on its HIPAA policies and procedures."
"Stone Oak Urgent Care & Family Practice","TX","Business Associate","6672","10/24/2011","Loss, Theft","Desktop Computer","Yes","\N"
"Indiana University School of Optometry","IN","Healthcare Provider","757","10/25/2011","Theft","Network Server","No","A doctor's letters and reports were exposed on the Internet for one month after the security configuration of the covered entity's (CE) computer server was changed. The electronic protected health information (ePHI) of 757 individuals appearing on the Internet included patient names, birth dates, medical histories, diagnoses, and treatment plans.  Following the breach, the CE identified and blocked the internet protocol (IP) address that was allowing access to ePHI over the Internet, removed the web portal that was facilitating access, and restored the affected server to its previous security configuration. As a result of OCR's investigation, the CE implemented monitoring and reporting of electronic information systems that transmit ePHI.  OCR obtained assurances that breach notification was provided to affected individuals, the media, and HHS."
"Brevard Emergency Services, P.A.","FL","Healthcare Provider","2200","10/25/2011","Theft","Paper/Films","No","\N"
"Morris Heights Health Center","NY","Healthcare Provider","927","10/27/2011","Theft","Laptop","No","An unencrypted laptop computer containing the electronic protected health information (ePHI) of 927 individuals was stolen from the covered entity's (CE) school based health center.  The ePHI included names, dates of birth, sex, ethnicities, height, weight, body mass index data, complete physical examination information such as asthma and obesity information, health action plans, and enrollment dates.  Upon discovery of the breach, the CE filed a police report to recover the stolen laptop.  As a result of OCR's investigation, the CE purchased locks to physically secure its' school health computers to the desks where the computers are located.  In addition, the CE encrypted all portable devices' hard drives and installed software to track portable devices. The CE also retrained all staff on its policies and procedures for using and securing ePHI. "
"Pitney Bowes Management Services, Inc.","CT","Business Associate","1089","10/28/2011","Theft","Desktop Computer","Yes","\N"
"Thresholds Inc.","MI","Business Associate","1100","10/28/2011","Theft","Paper/Films","Yes","\N"
"Premier Imaging","NC","Healthcare Provider","551","10/28/2011","Unknown","Paper/Films","No","A newly hired employee impermissibly took patient registration documents home. The records taken included the protected health information of 551 patients.  The information at issue included names, addresses, birth dates, social security numbers, and driver's license numbers. As a result, the CE terminated the employee, provided notice to the affected individuals, amended registration procedures, implemented additional safeguards for such information, and offered identity theft protection to the affected individuals.\"
"Julie A. Kennedy, D.M.D., P.A.","FL","Healthcare Provider","2900","10/31/2011","Theft","Network Server","No","Two laptop computers containing the electronic protected health information (ePHI) of approximately 5,450 individuals were stolen from the CE.  The ePHI included patient names, dates of birth, and social security numbers.  The CE provided breach notification to all affected individuals, HHS, and the media.  As a result of OCR's investigation, the CE installed encryption software and increased physical security."
"KCI USA, Inc.","TX","Healthcare Provider","567","10/31/2011","Theft","Other, Other Portable Electronic Device","No","\N"
"Lebanon Internal Medicine Associates","PA","Healthcare Provider","55000","11/02/2011","Improper Disposal","Network Server","No","\N"
"St. Joseph Medical Center","MD","Healthcare Provider","5000","11/03/2011","Theft","Other, Paper/Films","No","\N"
"UCLA Health System","CA","","2761","11/04/2011","Theft","Other, Other Portable Electronic Device","No","\N"
"Science Applications International Corporation (SA","VA","Business Associate","4900000","11/04/2011","Loss","Other","Yes","\N"
"Logan County Emergeny Ambulance Service Authority","WV","Healthcare Provider","12563","11/08/2011","Loss, Theft","Laptop","No","\N"
"Amerigroup Community Care of New Mexico, Inc","NM","Health Plan","1537","11/13/2011","Theft","Paper/Films","No","A workforce member of the covered entity (CE), Amerigroup Community Care of New Mexico, accessed the company data system to compile a list of members’ names, dates of birth, and social security numbers.  The protected health information (PHI) of approximately 1,526 individuals was involved in the breach. The workforce member did not have a job specific purpose for accessing and downloading the information.  Following this breach, the CE terminated the workforce member involved.  Further, the CE conducted an internal review of its procedures to determine whether additional security controls are needed.  As a result of OCR’s investigation, the CE provided additional training, through email reminders, about workforce members’ responsibilities to protect member information and to report incidents when observed."
"Mid Continent Credit Services, Inc.","KS","Business Associate","8275","11/14/2011","Theft","Other","Yes","The covered entity's (CE), Lawrence Memorial Hospital, business associate (BA), performed a security update to the CE's website that potentially allowed the impermissible disclosure of 8,275 individuals' electronic protected health information (ePHI).  The ePHI consisted of names, addresses, other demographic information, and credit card/bank account numbers.  Upon discovering the breach, CE shut down its website, removed all identified cached pages containing ePHI, started actions to terminate the relationship with the BA, and updated its breach notification policy.  CE also provided breach notification to affected individuals, HHS, and the media, and posted substitute notice on its website.  It offered credit monitoring service to affected individuals.  As a result of OCR's investigation, CE finalized its new breach notification policy, updated its BA contracts, and re-trained staff on its privacy, security, and breach notification polices."
"Sutter Medical Foundation","AL","Healthcare Provider","943434","11/17/2011","Theft","Desktop Computer","No","\N"
"Medcenter One","ND","Healthcare Provider","650","11/17/2011","Theft","Laptop","No","On or about October 21, 2011, the covered entity (CE), MedCenter One, Inc., which merged with Sanford Health on July 3, 2012, failed to safeguard the electronic protected health information (ePHI) of approximately 650 patients when an unencrypted, password-protected laptop computer and a bag containing 11 patient charge tickets were stolen from an employee’s vehicle.  The type of ePHI involved in the breach included demographic information.  The CE provided breach notification to HHS, affected individuals, and the media.  The CE encrypted all of its laptop computers, implemented new information technology security policies and procedures, retrained staff on its new policies, and sanctioned the responsible employee.  OCR obtained assurances that the CE implemented the corrective actions listed above."
"Dallas County Hospital District dba Parkland Health & Hospital System","TX","Healthcare Provider","2464","11/17/2011","Unauthorized Access/Disclosure","Electronic Medical Record, Paper/Films","No","OCR opened an investigation of the covered entity (CE), Dallas County Hospital District dba Parkland Health & Hospital System, after it reported that a former workforce member, while still employed, downloaded the names and certain personal information of its patients.  The electronic protected health information (ePHI) involved in the breach included names, social security numbers, dates of birth, and other demographic information of approximately 2,464 individuals.  The downloaded information was used to solicit potential clients in the workforce member’s personal business, a home health agency.  The CE provided breach notification to HHS and affected individuals and offered free credit monitoring services for a year.  Further, the CE terminated the workforce member who was involved in the incident and pursued criminal charges against him.  As a result of OCR’s investigation, the CE developed a program to track anomalies to detect inappropriate use or access.  Further, the CE revised its code of conduct and ethics to increase focus on conflicts of interest and confidentiality of PHI."
"Sitka Wellness Center","AK","","","11/22/2011","","","No",""
"University of Kentucky UK HealthCare","KY","Healthcare Provider","878","11/23/2011","Loss","Other Portable Electronic Device","No","\N"
"State of Tennessee Sponsored Group Health Plan","TN","Health Plan","1770","11/28/2011","Unauthorized Access/Disclosure","Paper/Films","No","An equipment operator at the state's postal facility set the machine to insert four (4) pages per envelope instead of one (1) page per envelope, which caused the PHI of four individuals to be sent to one address per envelope.  The error affected approximately 1770 enrollees. The letters contained information such as names, addresses, birth dates, and social security numbers. As a result, the CE retrained the employee, submitted a breach report to HHS, provided notice to the affected individuals, notified the media, created a toll-free number for information regarding the incident, posted notice on its website, modified policies to remove the SSN on templates for future mailings, and offered identity theft protection to the affected individuals. Following the OCR investigation, the CE provided reviewed its policies and procedures to ensure adequate safeguards are in place. \"
"Cleveland Clinic Florida","FL","Healthcare Provider","772","12/01/2011","Loss","Other","No","\N"
"Jay C. Platt, DDS","IN","Healthcare Provider","10705","12/05/2011","Theft","Other","No","\N"
"Contra Costa Health Services","CA","","","12/07/2011","","","No",""
"Rite Aid Corporation ","PA","Healthcare Provider","2900","12/07/2011","Other","Paper/Films","No","\N"
"Blue Vantage Group","NY","Business Associate","7226","12/09/2011","Unauthorized Access/Disclosure","Network Server","Yes","\N"
"Nation Wise Machine Buyers","IL","Business Associate","2000","12/09/2011","Improper Disposal","Paper/Films","Yes","\N"
"University of Nebraska Medical Center","NE","Healthcare Provider","611","12/09/2011","Theft","Paper/Films","No","\N"
"Roberts S. Smith M.D. Inc.","GA","Healthcare Provider","17000","12/13/2011","Theft","Laptop","No","\N"
"Paul C. Brown, MD, PS","WA","Healthcare Provider","4693","12/15/2011","Theft","Other","No","\N"
"Molina Healthcare of California","CA","Health Plan","11081","12/17/2011","Other","Paper/Films","No","\N"
"Aegis Sciences Corporation","TN","Healthcare Provider","2185","12/21/2011","Theft","Laptop, Other Portable Electronic Device","No","OCR opened an investigation of the covered entity (CE), Aegis Science Corp., after the CE reported that a laptop computer and unencrypted external hard drive containing the electronic protected health information (ePHI) of 2,185 individuals were stolen from a workforce member's vehicle.  The ePHI included social security numbers, driver's license numbers, and other demographic information, as well as bank account information of fourteen individuals and credit card information of three individuals.  Upon discovering the breach, the CE filed a police report and hired a private investigator to recover the stolen items.  The CE also initiated plans to encrypt laptops, revise security procedures, retrain employees, and offer credit monitoring to affected individuals.  As a result of OCR's investigation, the CE completed a security risk analysis and risk management report and implemented new security policies and procedures to ensure adequate safeguards to protect ePHI.  The CE also provided media notification in the two localities with greater than 500 individuals affected.  Additionally, the CE encrypted all employee computers and removable media containing ePHI and retrained employees on the CE's confidentiality and security policies."
"Soundpath Health, Inc","WA","Health Plan","7581","12/23/2011","Theft","Laptop","No","A laptop containing the protected health information (PHI) of approximately 7,581 clients was stolen out a workforce member's vehicle and subsequently used to access the covered entity's (CE) company server.  The laptop contained clients' demographic information.  After the incident, the CE performed a risk analysis of the specific breach occurrence.  The CE provided OCR with a copy of its risk analysis, as well as its privacy, breach notification, and security policies and procedures. Following OCR's investigation, the CE performed a broader security risk assessment and encrypted all mobile media.  The CE also developed and provided computer security training to its staff members."
"Concentra Health","TX","Healthcare Provider","870","12/28/2011","Theft","Laptop","No","\N"
"Sleep HealthCenters LLC","MA","Healthcare Provider","2988","12/28/2011","Theft","Laptop","No","\N"
"Smile Designs","FL","Healthcare Provider","1670","01/06/2012","Theft","Desktop Computer, Network Server","No","\N"
"Alamance Caswell Local Management Entity","NC","Business Associate","50000","01/10/2012","Other, Unauthorized Access/Disclosure","Email, Network Server","Yes","\N"
"CardioNet, Inc","PA","Healthcare Provider","1300","01/10/2012","Theft","Laptop","No","\N"
"RightNow Technologies","MT","Business Associate","2700","01/11/2012","Unauthorized Access/Disclosure","Other","Yes","RightNow Technologies, the software vendor and business associate (BA) for the covered entity (CE), MDwise, failed to disable a software switch, which allowed Google to index files on the CE’s hosted website containing the electronic protected health information (ePHI) of approximately 2,700 individuals.  The ePHI included individuals’ names, addresses, zip codes, Medicaid numbers, and primary care physicians’ names and addresses.  Following the breach, the CE took down the files in issue, disallowed the indexing and searching of the CE’s files by Internet search engines, and added restrictions.  The CE also requested that Google remove the indexing on the affected files and obtained confirmation that Google cooperated within 24 hours. The CE provided breach notification to HHS, affected individuals, and the media.  Finally, the CE improved technical safeguards pursuant to the HIPAA Security Rule.  OCR obtained assurances that the CE implemented the corrective actions listed."
"WageWorks, Inc.","CA","Business Associate","1700","01/13/2012","Other","Paper/Films","Yes","\N"
"Foundation Medical Partners","NH","Healthcare Provider","771","01/16/2012","Theft","Paper/Films","No","Without permission from the covered entity (CE), an employee provided a list of patient's names to a local counseling center as the employee was leaving the CE to begin employment at the new counseling center in an attempt to coordinate care of the patients she was treating.  The list, containing the PHI of approximately 771 individuals, included names, dates of birth, addresses, phone numbers, names of the insurance carriers, and facility codes.  Following the disclosure, the CE provided breach notification to HHS, the media, and all individuals affected and sanctioned the former employee for violating its policies and procedures. The CE also changed its procedures for list management.  The CE sent a reminder to all of its health care providers regarding the handling of PHI and made plans to provide HIPAA compliance information in a quality assurance newsletter."
"Foundation Medical Partners","NH","","","01/18/2012","","","No",""
"Kansas Department on Aging","KS","Healthcare Provider","7757","01/19/2012","Theft","Laptop","No","On January 13, 2012, a laptop computer was from stolen from an employee’s vehicle. The laptop contained the electronic protected health information (ePHI) of approximately 7,757 Kansas Department on Aging customers.  The ePHI included customers’ names, addresses, dates of birth, types of services, case managers and their telephone numbers, dates of quality reviews, and names of quality review staff.  KDOA filed a police report, provided breach notification to HHS, affected individuals, and the media, and issued substitute notice.  Following the breach, KDOA retrained its workforce and encrypted all its laptops and thumb/flash drives.  OCR obtained assurances that KDOA implemented the corrective action listed above, and upon investigation, OCR determined that KDOA does not meet the definition of a covered entity. "
"Delta Dental of California","CA","Health Plan","11646","01/19/2012","Other","Paper/Films","No","\N"
"Muskogee Regional Medical Center","OK","Health Plan","844","01/20/2012","Loss","Other","No","A binder containing flu test results went missing from the lab of the covered entity (CE), Muskogee Regional Medical Center, on or about December 5, 2011.  The binder contained the protected health information (PHI) of approximately 844 individuals, including patients’ names, account numbers, genders, medical record numbers, dates of birth, ages, test dates, and flu test results.  Although the CE’s investigation could not confirm that the information had been impermissibly disclosed, it provided breach notification to the potentially affected individuals, HHS and the media.  Following discovery of the incident, the CE retrained laboratory workforce members regarding proper handling and disposal procedures for PHI.  It also determined to eliminate such paper records and to store future similar records electronically.  OCR obtained assurances that the corrective actions listed above were completed."
"ACS, Affiliated Computer Services, Inc., A Xerox Company","VA","Business Associate","1444","01/23/2012","Other, Unauthorized Access/Disclosure","Paper/Films","Yes","\N"
"Oldendorf Medical Services, PLLC","NY","Healthcare Provider","549","01/24/2012","Theft","Laptop","No","OCR opened an investigation of the covered entity (CE) after it reported two unencrypted laptops were stolen that contained the electronic protected health information (ePHI) of 549 individuals.  The ePHI included names, dates of birth, diagnostic test results, and social security numbers.  Upon discovery of the breach, the CE filed a police report to recover the stolen items.  As a result of OCR's investigation, the CE installed security cameras and new door locks and changed the codes to the outside entrance keypad lock.  The CE also encrypted laptop computers. "
"St.Vincent Physician Network","IN","Healthcare Provider","1423","01/26/2012","Theft, Unauthorized Access/Disclosure","Paper/Films","No","\N"
"Flex Physical Therapy","WA","Healthcare Provider","3100","01/27/2012","Theft","Desktop Computer","No","On 12/30/2011, three password protected desktop computers were stolen as a result of a break-in.  The electronic protected health information (ePHI) involved in the breach may have contained the names, social security numbers, addresses, dates of birth, claims information, diagnosis and treatment information of 3,100 individuals.  The CE provided breach notification to HHS, affected individuals, and the media, and also provided substitute notice.  Following the breach, the CE upgraded its software and addressed facility access controls.  OCR provided technical assistance regarding encryption standards and breach notification requirements."
"Metro Community Provider Network","CO","Healthcare Provider","3200","01/27/2012","Hacking/IT Incident, Other","Email","No","The U.S. Department of Health and Human Services, Office for Civil Rights (OCR), has announced a Health Insurance Portability and Accountability Act of 1996 (HIPAA) settlement based on the lack of a security management process to safeguard electronic protected health information (ePHI). Metro Community Provider Network (MCPN), a federally-qualified health center (FQHC), has agreed to settle potential noncompliance with the HIPAA Privacy and Security Rules by paying $400,000 and implementing a corrective action plan. With this settlement amount, OCR considered MCPN’s status as a FQHC when balancing the significance of the violation with MCPN’s ability to maintain sufficient financial standing to ensure the provision of ongoing patient care. MCPN provides primary medical care, dental care, pharmacies, social work, and behavioral health care services throughout the greater Denver, Colorado metropolitan area to approximately 43,000 patients per year, a large majority of whom have incomes at or below the poverty level.

On January 27, 2012, MCPN filed a breach report with OCR indicating that a hacker accessed employees' email accounts and obtained 3,200 individuals' ePHI through a phishing incident. OCR’s investigation revealed that MCPN took necessary corrective action related to the phishing incident; however, the investigation also revealed that MCPN failed to conduct a risk analysis until mid-February 2012. Prior to the breach incident, MCPN had not conducted a risk analysis to assess the risks and vulnerabilities in its ePHI environment, and, consequently, had not implemented any corresponding risk management plans to address the risks and vulnerabilities identified in a risk analysis. When MCPN finally conducted a risk analysis, that risk analysis, as well as all subsequent risk analyses, were insufficient to meet the requirements of the Security Rule.

“Patients seeking health care trust that their providers will safeguard and protect their health information,” said OCR Director Roger Severino. “Compliance with the HIPAA Security Rule helps covered entities meet this important obligation to their patient communities.”

The Resolution Agreement and Corrective Action Plan may be found on the OCR website at http://www.hhs.gov/hipaa/for-professionals/compliance-enforcement/agreements/MCPN

"
"University of Miami ","FL","Healthcare Provider","1219","01/30/2012","Theft","Other Portable Electronic Device","No","An unencrypted USB drive was stolen from the vehicle of a University of Miami pathologist. The drive contained the electronic protected health information (ePHI) of 1,219 patients, including names, ages, diagnoses, and treatment information.  The covered entity (CE) provided breach notification to HHS, affected individuals, and the media.  It also established a website related to the breach and offered credit monitoring to affected individuals.  Following the breach, the CE implemented sanctions by ceasing relations with the pathologist (an independent contractor) and retrained personnel on safeguards, notably encryption, data protection and security awareness.  OCR obtained assurances that the corrective actions listed above were completed."
"UnitedHealth Group health plan single affiliated covered entity","MN","Health Plan","6678","02/01/2012","Other","Paper/Films","No","\N"
"Triumph, LLC","NC","Healthcare Provider","2000","02/01/2012","Theft","Laptop","No","\N"
"Accretive Health","IL","Business Associate","14000","02/06/2012","Theft","Laptop","Yes","\N"
"Loma Linda University Medical Center (LLUMC)","CA","Healthcare Provider","1366","02/08/2012","Other","Paper/Films","No","\N"
"Affiliated Computer Services, Inc.  (ACS, Inc.) A Xerox Company","NJ","Business Associate","1700","02/08/2012","Other","Other","Yes","\N"
"Medco Health Solutions, Inc.","NJ","Healthcare Provider","1287","02/13/2012","Theft","Paper/Films","No","The covered entity (CE), Medco Health Solutions, Inc., reported that it mailed letters that contained the protected health information (PHI) of 4,341 individuals to incorrect addresses due to a corruption of data in the mailing software programming code.  After conducting a risk assessment, the CE determined that the actual number of affected individuals was 1,287.  The PHI included names, medication names, and prescription numbers.  The CE provided breach notification to HHS and affected individuals.  Upon discovery of the breach, the CE immediately ceased using the update to its mailing software system.  As a result of OCR's investigation, the CE corrected the update to its mailing software system and established a manual quality check process.  The CE also implemented the use of a daily automated surveillance system for its mailing software.  "
"Lakeview Medical Center","WI","Healthcare Provider","698","02/14/2012","Theft","Laptop","No","\N"
"Goshen Health System, Inc.","IN","Healthcare Provider","660","02/14/2012","Hacking/IT Incident","Other","No","Computer servers of Goshen Health System’s business associate (BA), Silver Tech, may have been injected with a virus on December 22, 2011.  The BA operates a consumer website on behalf of the covered entity (CE) for employment and pre-registration for screenings and diagnostic testing.  The BA’s servers contained the electronic protected health information (ePHI) of approximately 660 individuals, including patients’ names, social security numbers, addresses, insurance carriers, and testing information, and financial information.  The CE provided breach notification to HHS, affected individuals, the media.  It also notified the Indiana Attorney General’s office and the FBI and offered one year of free credit monitoring services to affected individuals.  Following the breach, the CE terminated its relationship with the BA, engaged an outside forensic security firm to conduct an internal investigation, and updated its website.  The CE revised its HIPAA policies and procedures and updated its practices to ensure the proper execution of Business Associate Agreements with all vendors and other parties who may have access to PHI.  The CE trained its employees on its policies and procedures and documented its most recent risk analysis and corresponding risk management plan.  OCR obtained documentation evidencing that the CE implemented the corrective actions listed.     "
"St. Joseph Health System","CA","Healthcare Provider","","02/15/2012","Unauthorized Access/Disclosure","Network Server","No","St. Joseph Health (SJH) has agreed to settle potential violations of the Health Insurance Portability and Accountability Act of 1996 (HIPAA) Privacy and Security Rules following the report that files containing electronic protected health information (ePHI) were publicly accessible through internet search engines from 2011 until 2012. SJH, a nonprofit integrated Catholic health care delivery system sponsored by the St. Joseph Health Ministry, will pay a settlement amount of $2,140,500 and adopt a comprehensive corrective action plan. SJH’s range of services includes 14 acute care hospitals, home health agencies, hospice care, outpatient services, skilled nursing facilities, community clinics and physician organizations throughout California and in parts of Texas and New Mexico.
On February 14, 2012, SJH reported to the U.S. Department of Health and Human Services, Office for Civil Rights (OCR) that certain files it created for its participation in the meaningful use program, which contained ePHI, were publicly accessible on the internet from February 1, 2011, until February 13, 2012, via Google and possibly other internet search engines. The server SJH purchased to store the files included a file sharing application whose default settings allowed anyone with an internet connection to access them. Upon implementation of this server and the file sharing application, SJH did not examine or modify it. As a result, the public had unrestricted access to PDF files containing the ePHI of 31,800 individuals, including patient names, health statuses, diagnoses, and demographic information.
OCR’s investigation indicated the following potential violations of the HIPAA Rules:
•	From February 1, 2011 to February 13, 2012, SJH potentially disclosed the PHI of 31,800 individuals;
•	Evidence indicated that SJH failed to conduct an evaluation in response to the environmental and operational changes presented by implementation of a new server for its meaningful use project, thereby compromising the security of ePHI;
•	Although SJH hired a number of contractors to assess the risks and vulnerabilities to the confidentiality, integrity and availability of ePHI held by SJH, evidence indicated that this was conducted in a patchwork fashion and did not result in an enterprise-wide risk analysis, as required by the HIPAA Security Rule.
In addition to the $2,140,500 settlement, SJH has agreed to a corrective action plan that requires the organization to conduct an enterprise-wide risk analysis, develop and implement a risk management plan, revise its policies and procedures, and train its staff on these policies and procedures. The Resolution Agreement and Corrective Action Plan may be found on the OCR website at http://www.hhs.gov/hipaa/for-professionals/compliance-enforcement/agreements/sjh. 
"
"Georgetown University Hospital","DC","Healthcare Provider","1549","02/15/2012","Unauthorized Access/Disclosure","Paper/Films","No","\N"
"Motion Picture Industry Health Plans (MPI)","CA","Health Plan","703","02/15/2012","Theft","Other","No","The covered entity (CE), Motion Picture Industry Health Plans (MPIHP), mistakenly sent mailings containing protected health information (PHI) to the prior address of approximately 700 individuals due to a computer error.  The PHI involved in the breach included names, claim numbers, dates of service, and provider names.  The CE provided breach notification to affected individuals, HHS, and the media, and posted substitute notice on its website.  Following the breach, the CE instituted additional safeguards including automatic suppression of documents when conflicting addresses are contained in multiple computer systems.  As a result of OCR's investigation, the CE updated its policies, conducted a new risk analysis, and developed a new risk management plan."
"Ochsner Health System","LA","Healthcare Provider","2088","02/20/2012","Loss","Other Portable Electronic Device","No","An external hard drive was stolen from the radiology department of the covered entity (CE), Ochsner Health System.  The electronic protected health information (ePHI) on the hard drive included the names, addresses, dates of birth, and medical record numbers of approximately 2,088 individuals.  The CE provided breach notification to HHS, affected individuals, and the media.  As a result of the breach, the CE improved technical safeguards and updated its policies and procedures.  OCR obtained assurances that the CE implemented the corrective actions listed."
"Dr. Trandinh","OR","Business Associate","2300","02/20/2012","Theft, Unauthorized Access/Disclosure","Laptop","Yes","The CE reported that a physician’s personally-owned, unencrypted laptop was stolen from her residence.  The laptop contained the medical records of 2,306 patients who had been seen by the physician in her solo private practice, not the CE.  The medical records contained demographic information, including home addresses, social Security numbers, and clinical information, including diagnoses, treatment information, and medical history.  Prior to the theft, the physician had closed her private practice and provided an electronic copy of her patient records to the CE.  The CE, as custodian of the records, provided breach notification to HHS, affected individuals and the media.  Following additional technical assistance provided by OCR, the CE developed a written breach policy and procedure."
"CardioNet, Inc.","PA","Healthcare Provider","728","02/27/2012","Theft","Laptop","No","\N"
"Beth Barrett Consulting, LLC","NM","Business Associate","7000","02/28/2012","Theft","Laptop","Yes","\N"
"Catalyst Health Solutions, Inc.","MD","Business Associate","632","02/28/2012","Unauthorized Access/Disclosure","Other","Yes","\N"
"T&P CONSULTING, INC. D/B/A QUANTUM","PR","Business Associate","7706","02/28/2012","Theft","Laptop","Yes","An unencrypted laptop computer and external hard drive containing the electronic protected health information (ePHI) of 7,706 individuals were stolen from a staff member of the covered entity's (CE) business associate (BA).  The ePHI included names, ages, sex, social security numbers, medical services provided, diagnosis codes, and dates of service.  Upon discovery of the breach, the CE filed a police report to recover the stolen items and provided breach notification to HHS, the media, and all individuals affected by the breach.  As a result of OCR's investigation, the CE had its BA conduct a risk analysis, implement new security policies and procedures to ensure adequate safeguards to protect ePHI, and retrain its employees.  In addition, the CE also had its BA change its security practices to include encryption on all laptops and restrict the use of portable media devices.  OCR obtained assurances that the CE implemented the corrective action listed above and required two additional corrective actions.  OCR identified the need for the CE to complete a risk assessment and implement certain security policies and procedures."
"Lee Miller Rehabilitation Associates","MD","Healthcare Provider","10480","02/29/2012","Theft","Network Server","No","\N"
